66;CONFECTION FLEXIBLE;"1""1/8 LG=1,10 MT FF";519,79;
67;ADAPTEUR;7/16-20X1/4 NPT JIC;32,00;
68;ADAPTEUR;04-04 JIC DOUBLE;45,50;
69;ADAPTEUR;7/16-20X3/8 NPT;33,60;
70;COLLIER MICALOR;110-130 12MM;11,20;
71;CABLE D'EMBRAYAGE;1336711460 ISUZU=1336711461;1 563,37;
72;PC ORDINATEUR;HP PAVILLON 24 T ch AIO i5-13400T 8GB 256G+1 T HD White;10 660,30;
73;SEPARATEUR;CA002266A;2 800,00;
74;BOUTEILLE D'AIR COMPRIME;15LT;4 000,00;
75;COMPRESSEUR D'AIR;;28 000,00;
76;FLEXIBLE HAUT PRESSION AVEC PURGEUR;HAUT PRESSION AVEC PURGEUR ET MANOMETRE;3 000,00;
77;COURROIE;9,5X1400 REF 1180448;515,61;
78;SONDE THERMIQUE;150° REF 1173469;1 031,27;
79;SONDE THERMIQUE;02405960 REF 1183085;479,44;
80;POMPE HYDRAULIQUE;SERIE 1;1 500,00;
81;KIT NECESSAIRE;S/M;1 720,00;
82;RADIO PORTABLE;E/R HYTERA AP515 AVEC ANTENNE+BATTERIE+CHARGEUR;1 850,00;
83;CHARGEUR DE BATTERIE;DP 1400 MOTOROLA;600,00;
84;TUBE GALVANISEE;"1"" SERIE 1";68,50;
85;RACCORD UNION;"1"" GALVANISEE";52,20;
86;TUBE PEHD;32PN16;9,20;
87;MAMELON;"1""1/2 EE NOIR";20,83;
88;RACCORD PEHD;"32X1"" MALE";21,00;
89;MANCHON PEHD;32x32;22,50;
90;CABLE ELECTRIQUE SOUPLE;4X16 MM2;95,83;
91;CABLE ELECTRIQUE SOUPLE;4X10 MM2;62,50;
92;PROJECTEUR LED;100W;200,00;
93;PRISE APPARENT;2P+T16A;75,00;
94;FICHE;2P+T16A;54,17;
95;PEISE APPARENT;3P+T32A;104,18;
96;FICHE;3P+T32A;95,83;
97;OBTURATEUR SIMPLE;R 84 LG=1000 MM;7 735,75;
98;REDUCTION;CR 60 ROD F X 60 N/ROD F;1 800,00;
99;POLYMERE;EZ-MUD DP 25KG;2 000,00;
100;REPARATION FLEXIBLE;"2"" COTE F";351,42;
101;MANOMETRE;250 BARS D 100;260,00;
102;CONFECTION FLEXIBLE;1/2 LG=9 MT-FF METRIC;1 037,28;
103;CONFECTION FLEXIBLE;1/2 LG= 6 MT-FF METRIC;732,27;
104;UNION DOUBLE;16S;62,50;
105;REPARATION FLEXIBLE;"2"" COTE F";351,42;
106;TUBE TECALENT;4X6 BLANC;8,21;
107;TUBE HYDRAULIQUE;2X4;21,00;
108;GASOIL;;11,83;
109;GALLET DE CHENILLE;32A BERCD;1 300,00;
110;MANCHETTE;66X27 LG=150 MM 50-55 Sh S/M;120,00;
111;FRAIS DE MOULE;66X27 LG=150 MM 50-55 Sh S/M;3 500,00;
112;NEZ D'INJECTEUR;JHON DEER 5303/5403/6;433,33;
113;CIMENT;CPJ 45 SUR PALETTE;1 441,67;
114;TRANSPORT;CPJ 45 SUR PALETTE;1 500,00;
115;COUDE ORIENTABLE;"1""1/4 A90°";358,91;
116;POCHETTE DE JOINT;;1 210,00;
117;CONTACTEUR DE DEMARRAGE;;950,00;
118;EXENTRIQUE;;220,00;
119;PALETTE A ACIER;;300,00;
120;MAIN D'ŒUVRE;;400,00;
121;JOINT A LEVRE;RE505515=RE52346;500,00;
